Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бармен-бариста в кафе Кремлёвский,ФГБУ Комбинат питания Кремлевский,75.0,,,,,Нет опыта,ТК,Сменный график,,кофе,"Приготовление кофейных напитков, чая, свежевыжатых соков. Работа с алкоголем и коктейлями. Поддерживать презентабельный вид кондитерской витрины, своевременная выкладка десертов. ",https://hh.ru/vacancy/115032554
Бариста,Pride coffee,40.0,60.0,,,,Нет опыта,ТК,Гибкий график,,,Записывайся с нами на встречу и увидимся на баре!,https://hh.ru/vacancy/124706048
Бариста в сеть кофеен Груша (м. Тульская),Glitch Coffee,70.0,,,,,Нет опыта,ТК,Полный день,,кофе,Создавать и поддерживать заботливую атмосферу для наших гостей. Готовить напитки на рожковой кофемашине. Работать с кассой. Поддерживать чистоту в кофейне.,https://hh.ru/vacancy/124219498
Бариста Pims/менеджер Pims/Управляющий Pims,Пилипенко Анастасия Вячеславовна,60.0,120.0,,,,Нет опыта,ТК,Сменный график,,,Приготовление напитков на основе чая. - Уборка рабочего места. - Предоставление фирменного сервиса нашим гостям. - Работа на кассе.,https://hh.ru/vacancy/124830443
Продавец в кондитерскую/Бариста,Ванлав,75.0,90.0,,,,Нет опыта,ТК,Гибкий график,,,Приготовление горячих напитков на профессиональном оборудовании. Продажа кондитерских изделий и напитков. Работа с кассой. Соблюдение чистоты на рабочем месте. ,https://hh.ru/vacancy/123308371
Бариста,Ясин кофе,45.0,,,,,От 1 года до 3 лет,ТК,Сменный график,,кофе,Приготовление вкусных кофейных напитков (и латте-арт приветствуется!). - Контроль наполнения витрины и ассортимента. - Поддержание чистоты и уюта в кофейне. - ,https://hh.ru/vacancy/124194868
Бариста в udcкафе,ICONFOOD,70.0,,,,,Нет опыта,ТК,Сменный график,,кофе,"Приготовление чая, кофе и сезонных напитков в соответствии со стандартами компании. Работа только с напитками, работа с кассой не твоя...",https://hh.ru/vacancy/124704949
Бариста,Соло Ной,84.0,,,,,Нет опыта,ТК,Гибкий график,,,Готовить напитки по техкартам. – Поддерживать заполняемость витрины. – Следить за заготовками смены. – Общаться с гостями. – Поддерживать чистоту на рабочем месте.,https://hh.ru/vacancy/124779119
Бариста,РЭД МАУНТ,95.0,,,,,От 1 года до 3 лет,ТК,Сменный график,,кофе,"Приготовление кофе и других напитков. Работа со стандартным барным оборудованием (кофемашина, блендер и т.д.). Общение с гостями. ",https://hh.ru/vacancy/124432219
Бариста (Москва сити),FreshCafe,91.0,,,,,Нет опыта,ТК,Полный день,,,Работа с кассовой программой IIKO. Ждем от кандидата:,https://hh.ru/vacancy/124778994
Бариста,Prosvet coffee,70.0,90.0,,,,От 1 года до 3 лет,ТК,Гибкий график,,,"Опыт работы на должности <highlighttext>бариста</highlighttext> будет преимуществом, но не обязателен. Отличные коммуникативные навыки. Пунктуальность, опрятность, работа в команде.",https://hh.ru/vacancy/124930053
Бариста,Семенова Наталья Анатольевна,50.0,,,,,Нет опыта,ТК,Гибкий график,,кофе,Приготовление напитков на основе кофе и чая. Работа с кассовым оборудованием. Выпекание и подготовка к продаже кондитерских изделий. ,https://hh.ru/vacancy/124365125
Помощник бариста,Сеть кофеен Шоколадница,60.0,95.0,,,,Нет опыта,ТК,Полный день,,кофе,Консультирование посетителей по барному меню. Приёмка поставок. Предоставление высококачественного сервиса. Быстрое и профессиональное приготовление горячих и холодных напитков на основе...,https://hh.ru/vacancy/124549349
Бариста,БРИЗ,70.0,110.0,,,,От 1 года до 3 лет,ТК,Гибкий график,,кофе,"Приготовление кофейных напитков, лимонадов и коктейлей согласно утвержденному меню. Обеспечение высокого уровня обслуживания гостей за контактной барной стойкой. ",https://hh.ru/vacancy/124899438
Бариста,"Какой кофе, мне б такой",0.3,0.4,,,,Нет опыта,ТК,Полный день,,кофе,"Настройка эспрессо, приготовление кофейных и некофейных напитков. Прием заказов, вынос еды и напитков к столикам. Работа с кассой. Приготовление заготовок. ",https://hh.ru/vacancy/125017466
"Бариста Surf Coffee x Sretenka, Москва (м. Сухаревская)",Surf Coffee,60.0,,,,,Нет опыта,ТК,Полный день,,форма,"Участие в дегустациях, конкурсах и принятии решений. Приготовление напитков по стандартам компании. Общение с гостями в формате дружеской беседы. ",https://hh.ru/vacancy/124890122
Бариста в команду Ripple Coffee,Ripple Coffee,75.0,95.0,,,,От 1 года до 3 лет,ТК,Гибкий график,,кофе,"Приготовление кофейных напитков, лимонадов, чаев. Поддержание чистоты на рабочем месте. Выдача готовой продукции. Настройка эспрессо в течение дня. ",https://hh.ru/vacancy/124344478
Бариста-кассир в ресторан “Quidi” (Патриаршие пруды),Ресторан Red Box,100.0,,,,,Нет опыта,ТК,Гибкий график,,кофе,Готовить напитки и сервировать десерты. Поддерживать чистоту на рабочем месте. Работать с кассой. Консультировать гостей по меню.,https://hh.ru/vacancy/125124021
Бариста в кофейню Cofix,Cofix (ИП Черных Ирина Васильевна),85.0,110.0,,,,Нет опыта,ТК,Гибкий график,,кофе,Приготовление напитков по техническим картам с соблюдением рецептур сети. - Поддержка чистоты и уюта кофейни. - Работа с кассой: принять заказ получить...,https://hh.ru/vacancy/124677674
Бариста в кофейню,Ринго,110.0,170.0,,,,Нет опыта,ТК,Полный день,,кофе,Приготовление кофе и других напитков по авторским рецептам. Обслуживание клиентов на высоком уровне. Поддержание чистоты и порядка на рабочем месте. ,https://hh.ru/vacancy/124978508
Бариста в кофейню,Альтернатива,4.5,9.0,,,,Нет опыта,ТК,Гибкий график,,"обучение, кофе","Готовить кофе и напитки по стандартам. Общаться с гостями, помогать с выбором. Поддерживать чистоту на рабочем месте. Работать на кассе.",https://hh.ru/vacancy/124978914
Бариста в кофейню ROASTER coffee,ROASTER кофе,80.0,110.0,,,,От 1 года до 3 лет,ТК,Сменный график,,,"Умение работать в команде. Грамотная речь. Ответственность, доброжелательность, готовность к обучению. Знание iiko (желательно). Рассмотрим кандидатов с опытом от 1...",https://hh.ru/vacancy/124632473
Бариста,Алеся,80.0,90.0,,,,От 1 года до 3 лет,ТК,Полный день,,кофе,"Приготовление горячих и холодных напитков ( капучино, латте , американо и тд). Быстрая и корректная работа с рожковой кофемашиной. Поддержание чистоты рабочего...",https://hh.ru/vacancy/124893814
Бариста-кассир,Кондитория РОМБАБА,4.0,,,,,Нет опыта,ТК,Полный день,,кофе,Приготовление кофе и других напитков по прописанным рецептурам. Предоставление внимательного и доброжелательного сервиса гостям. Поддержание чистоты и порядка в баре. ,https://hh.ru/vacancy/123937153
Бариста,Хани Кофе,90.0,,,,,Нет опыта,ТК,Гибкий график,,кофе,Приготовление кофе и других напитков по стандартам компании. - Обслуживание гостей с улыбкой и вниманием. - Поддержание чистоты и порядка на рабочем...,https://hh.ru/vacancy/124189357
Бариста,Coffee First,85.0,92.0,,,,От 1 года до 3 лет,ТК,Полный день,,кофе,"Следите за трендами индустрии, интересуетесь развитием кофе как продукта. Оборудование: Кофемашина Dalla Corte ZERO Classic 2х гр., Кофемолка MAHLKOENIG...",https://hh.ru/vacancy/124852430
Бариста,Кофейня Скандинавия,90.0,,,,,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, чай",работа с заготовками •поддержание чистоты на баре и соблюдение санитарных норм •приготовление напитков по тех картам •работа с алкоголем Инвентаризации Оборудование : Марзока linea Молки малкениг Кертис на фильтре,https://hh.ru/vacancy/124534371
Бариста,Желтый Кофе и Бейглы,80.0,130.0,,,,Нет опыта,ТК,Гибкий график,,кофе,Приготовление напитков по стандартам компании. Настройка помола и работа с кофемашиной. Работа с кассой и обслуживание клиентов. Контроль товарных остатков...,https://hh.ru/vacancy/124331609
Администратор-бариста в кофейню,Правительство Москвы,92.0,,,,,Нет опыта,ТК,2/2,,кофе,"Открытие и закрытие смены Контроль работы персонала, быть готовым подменить бариста на рабочем месте Заказ продукции, контроль остатков и сроков годности Работа с кассой Содержание кофейни в чистоте",https://hh.ru/vacancy/123761744
Бариста-кассир,FeelGoodBar (ООО Радуем),80.0,100.0,,,,От 1 года до 3 лет,ТК,Сменный график,,кофе,"Принимать и оформлять заказы гостей, консультировать по ассортименту. Готовить ароматный кофе и другие напитки по стандартам компании. Следить за чистотой...",https://hh.ru/vacancy/124888800
Бариста,Паланчук Вадим,2.5,3.5,,,,Нет опыта,ТК,Гибкий график,,"форма, кофе","Приготовление классических и авторских напитков, - выкладка витрины, - продажа десертов, выпечки, готовых завтраков/обедов, - общение с гостями, - работа с кассой, - инвентаризация...",https://hh.ru/vacancy/124186257
Бармен - бариста (ТРЦ Европейский),Joki Joya,95.0,,,,,От 1 года до 3 лет,ТК,Полный день,,,Принимать заказы у гостей и через официантов. Работать с кассой (у нас удобная и простая система IIKO). Приготовление и отдача...,https://hh.ru/vacancy/124451323
Бариста (м.Славянский бульвар),Сеть кофеен Кофе твой друг,90.0,120.0,,,,Нет опыта,ТК,2/2,,"кофе, чай",<highlighttext>Бариста</highlighttext> отзовись!  Телефон. Приготовление отличного кофе/чая/сезонных напитков. Общение с Гостями. Расчет гостей. Работа на кассе. Создание хорошего настроения...,https://hh.ru/vacancy/125025949
Бариста в кафе-кондитерскую,Костомаров Арсентий Геннадьевич,65.0,,,,,Нет опыта,ТК,Гибкий график,,"кофе, чай","Общаться с гостями: подсказывать по меню и десертам, принимать и выдавать заказы. Готовить напитки по техкартам: кофе, чай, авторские — и...",https://hh.ru/vacancy/124676486
Бариста Surf Coffee x Akademik (м. Проспект Вернадского),Surf Coffee,60.0,90.0,3600.0,300.0,12.0,Нет опыта,ТК,Полный день,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/124839382
Бариста в Бар Капибар,Бар Капибар,0.3,,,,,От 1 года до 3 лет,ТК,Полный день,,,"Гости абсолютно разные, очень много туристов со всей России и ближнего зарубежья, много историй и приятного смол толка.",https://hh.ru/vacancy/124017552
Бариста в кофейню с завтраками,Кофейня Daily Green,88.0,119.0,,,,От 1 года до 3 лет,ТК,Гибкий график,,кофе,"Постоянное поддержание стандартов качества. Знание напитков, кухонного меню, десертов. Поддержание рабочего места в идеальной чистоте. Снятие остатков. С нашей стороны:",https://hh.ru/vacancy/124295061
Бариста в кофейню Glitch Coffee,Glitch Coffee,70.0,,,,,Нет опыта,ТК,Полный день,,кофе,Готовить напитки на рожковой кофемашине. Работать с кассой. Поддерживать чистоту в кофейне.,https://hh.ru/vacancy/124404595
Бариста/Бармен/Старший бариста/менеджер кофейни/управляющий,Coffee Music,4.0,4.0,,,,От 1 года до 3 лет,ТК,"5/2, 3/2, 2/3, 5/6, 2/2",,"обучение, проезд, оплата проезда, кофе","приготовление кофе, чая, смузи -продажа выпечки, готовых блюд -ведение кассовой отчётности",https://hh.ru/vacancy/124433296
Бариста в кофейню,Журавлева Татьяна Владимировна,70.0,130.0,,,,От 1 года до 3 лет,ТК,Полный день,,кофе,"Готовить самый вкусный кофе и другие напитки. Оформление витрин, прием продукции. Знание ассортимента. Соблюдение стандартов компании. Работа за кассой. ",https://hh.ru/vacancy/125091669
Администратор-бариста в отель,Отель Менеджмент,6.0,7.5,,,,Нет опыта,ТК,Сменный график,2 раза в месяц,"бонус, бонусы, кофе","Встреча и размещение гостей отеля (3*) согласно стандартам Подтверждение существующих и оформление новых бронирований как &quot;онлайн&quot;, так и по телефону (не продажи) Обслуживание гостей мини-кафе, работа с кофемашиной Кассовая отчетность, передача смены",https://hh.ru/vacancy/124982542
Бариста,KS,76.0,,,,,Нет опыта,ТК,Полный день,,,Работа по весам и тех картам. Приготовление напитков по технологическим картам.,https://hh.ru/vacancy/125123532
"Бариста, Москва (пр-т Мира)",Coffee Way,80.0,120.0,,,,Нет опыта,ТК,Сменный график,,"обучение, кофе","приготовление кофе, чая, молочных коктейлей для наших гостей. -соблюдение стандартов компании. -поддержание чистоты на рабочем месте и отслеживание остатков.",https://hh.ru/vacancy/124317417
Бариста,CHAFEISHI,,,,,,Нет опыта,ТК,"5/2, 6/1, 2/2",,"премии, обучение","Приготовление китайских напитков (бабл ти) быстрое и качественное (будет обучение); Общение с гостями, работа за кассой; Поддерживать порядок и чистоту на рабочем месте;",https://hh.ru/vacancy/124677167
